Date,Open,High,Low,Close,Volume
2023-01-01,100.50,102.30,99.80,101.50,1500000
2023-01-02,101.50,103.20,100.90,102.00,1480000
2023-01-03,102.00,104.00,101.50,103.50,2000000
2023-01-04,103.50,105.00,102.80,104.30,1800000
2023-01-05,104.30,106.00,103.70,105.20,1700000
2023-01-06,105.20,107.00,104.50,106.80,1600000
2023-01-07,106.80,108.50,105.90,107.50,1500000
2023-01-08,107.50,109.20,106.80,108.40,1400000
2023-01-09,108.40,110.00,107.80,109.20,1300000
2023-01-10,109.20,111.00,108.40,110.00,1200000
